"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2016 02:00:00 - 05/01/2016 03:00:00","BZN|ES","Without Sequence","13.00","",""
"05/01/2016 03:00:00 - 05/01/2016 04:00:00","BZN|ES","Without Sequence","12.90","",""
"05/01/2016 04:00:00 - 05/01/2016 05:00:00","BZN|ES","Without Sequence","12.90","",""
"05/01/2016 05:00:00 - 05/01/2016 06:00:00","BZN|ES","Without Sequence","17.69","",""
"05/01/2016 06:00:00 - 05/01/2016 07:00:00","BZN|ES","Without Sequence","23.89","",""
"05/01/2016 07:00:00 - 05/01/2016 08:00:00","BZN|ES","Without Sequence","32.49","",""
"05/01/2016 08:00:00 - 05/01/2016 09:00:00","BZN|ES","Without Sequence","41.45","",""
"05/01/2016 09:00:00 - 05/01/2016 10:00:00","BZN|ES","Without Sequence","40.72","",""
"05/01/2016 10:00:00 - 05/01/2016 11:00:00","BZN|ES","Without Sequence","40.66","",""
"05/01/2016 11:00:00 - 05/01/2016 12:00:00","BZN|ES","Without Sequence","40.33","",""
"05/01/2016 12:00:00 - 05/01/2016 13:00:00","BZN|ES","Without Sequence","38.25","",""
"05/01/2016 13:00:00 - 05/01/2016 14:00:00","BZN|ES","Without Sequence","36.98","",""
"05/01/2016 14:00:00 - 05/01/2016 15:00:00","BZN|ES","Without Sequence","34.91","",""
"05/01/2016 15:00:00 - 05/01/2016 16:00:00","BZN|ES","Without Sequence","33.33","",""
"05/01/2016 16:00:00 - 05/01/2016 17:00:00","BZN|ES","Without Sequence","35.10","",""
"05/01/2016 17:00:00 - 05/01/2016 18:00:00","BZN|ES","Without Sequence","38.00","",""
"05/01/2016 18:00:00 - 05/01/2016 19:00:00","BZN|ES","Without Sequence","42.94","",""
"05/01/2016 19:00:00 - 05/01/2016 20:00:00","BZN|ES","Without Sequence","42.92","",""
"05/01/2016 20:00:00 - 05/01/2016 21:00:00","BZN|ES","Without Sequence","38.35","",""
"05/01/2016 21:00:00 - 05/01/2016 22:00:00","BZN|ES","Without Sequence","34.42","",""
"05/01/2016 22:00:00 - 05/01/2016 23:00:00","BZN|ES","Without Sequence","32.99","",""
"05/01/2016 23:00:00 - 06/01/2016 00:00:00","BZN|ES","Without Sequence","32.00","",""
"06/01/2016 00:00:00 - 06/01/2016 01:00:00","BZN|ES","Without Sequence","18.11","",""
"06/01/2016 01:00:00 - 06/01/2016 02:00:00","BZN|ES","Without Sequence","12.40","",""
"06/01/2016 02:00:00 - 06/01/2016 03:00:00","BZN|ES","Without Sequence","7.88","",""
"06/01/2016 03:00:00 - 06/01/2016 04:00:00","BZN|ES","Without Sequence","7.00","",""
"06/01/2016 04:00:00 - 06/01/2016 05:00:00","BZN|ES","Without Sequence","6.50","",""
"06/01/2016 05:00:00 - 06/01/2016 06:00:00","BZN|ES","Without Sequence","6.50","",""
"06/01/2016 06:00:00 - 06/01/2016 07:00:00","BZN|ES","Without Sequence","7.20","",""
"06/01/2016 07:00:00 - 06/01/2016 08:00:00","BZN|ES","Without Sequence","11.11","",""
"06/01/2016 08:00:00 - 06/01/2016 09:00:00","BZN|ES","Without Sequence","12.10","",""
"06/01/2016 09:00:00 - 06/01/2016 10:00:00","BZN|ES","Without Sequence","17.22","",""
"06/01/2016 10:00:00 - 06/01/2016 11:00:00","BZN|ES","Without Sequence","18.89","",""
"06/01/2016 11:00:00 - 06/01/2016 12:00:00","BZN|ES","Without Sequence","18.10","",""
"06/01/2016 12:00:00 - 06/01/2016 13:00:00","BZN|ES","Without Sequence","13.34","",""
"06/01/2016 13:00:00 - 06/01/2016 14:00:00","BZN|ES","Without Sequence","15.00","",""
"06/01/2016 14:00:00 - 06/01/2016 15:00:00","BZN|ES","Without Sequence","13.10","",""
"06/01/2016 15:00:00 - 06/01/2016 16:00:00","BZN|ES","Without Sequence","12.40","",""
"06/01/2016 16:00:00 - 06/01/2016 17:00:00","BZN|ES","Without Sequence","12.40","",""
"06/01/2016 17:00:00 - 06/01/2016 18:00:00","BZN|ES","Without Sequence","17.22","",""
"06/01/2016 18:00:00 - 06/01/2016 19:00:00","BZN|ES","Without Sequence","20.01","",""
"06/01/2016 19:00:00 - 06/01/2016 20:00:00","BZN|ES","Without Sequence","29.10","",""
"06/01/2016 20:00:00 - 06/01/2016 21:00:00","BZN|ES","Without Sequence","29.99","",""
"06/01/2016 21:00:00 - 06/01/2016 22:00:00","BZN|ES","Without Sequence","30.42","",""
"06/01/2016 22:00:00 - 06/01/2016 23:00:00","BZN|ES","Without Sequence","27.10","",""
"06/01/2016 23:00:00 - 07/01/2016 00:00:00","BZN|ES","Without Sequence","18.11","",""
"07/01/2016 00:00:00 - 07/01/2016 01:00:00","BZN|ES","Without Sequence","14.10","",""
"07/01/2016 01:00:00 - 07/01/2016 02:00:00","BZN|ES","Without Sequence","8.00","",""
"07/01/2016 02:00:00 - 07/01/2016 03:00:00","BZN|ES","Without Sequence","5.40","",""
"07/01/2016 03:00:00 - 07/01/2016 04:00:00","BZN|ES","Without Sequence","4.50","",""
"07/01/2016 04:00:00 - 07/01/2016 05:00:00","BZN|ES","Without Sequence","4.00","",""
"07/01/2016 05:00:00 - 07/01/2016 06:00:00","BZN|ES","Without Sequence","5.00","",""
"07/01/2016 06:00:00 - 07/01/2016 07:00:00","BZN|ES","Without Sequence","10.00","",""
"07/01/2016 07:00:00 - 07/01/2016 08:00:00","BZN|ES","Without Sequence","24.11","",""
"07/01/2016 08:00:00 - 07/01/2016 09:00:00","BZN|ES","Without Sequence","40.66","",""
"07/01/2016 09:00:00 - 07/01/2016 10:00:00","BZN|ES","Without Sequence","41.93","",""
"07/01/2016 10:00:00 - 07/01/2016 11:00:00","BZN|ES","Without Sequence","41.62","",""
"07/01/2016 11:00:00 - 07/01/2016 12:00:00","BZN|ES","Without Sequence","41.50","",""
"07/01/2016 12:00:00 - 07/01/2016 13:00:00","BZN|ES","Without Sequence","40.66","",""
"07/01/2016 13:00:00 - 07/01/2016 14:00:00","BZN|ES","Without Sequence","40.33","",""
"07/01/2016 14:00:00 - 07/01/2016 15:00:00","BZN|ES","Without Sequence","36.51","",""
"07/01/2016 15:00:00 - 07/01/2016 16:00:00","BZN|ES","Without Sequence","33.49","",""
"07/01/2016 16:00:00 - 07/01/2016 17:00:00","BZN|ES","Without Sequence","34.19","",""
"07/01/2016 17:00:00 - 07/01/2016 18:00:00","BZN|ES","Without Sequence","40.66","",""
"07/01/2016 18:00:00 - 07/01/2016 19:00:00","BZN|ES","Without Sequence","40.80","",""
"07/01/2016 19:00:00 - 07/01/2016 20:00:00","BZN|ES","Without Sequence","42.10","",""
"07/01/2016 20:00:00 - 07/01/2016 21:00:00","BZN|ES","Without Sequence","36.50","",""
"07/01/2016 21:00:00 - 07/01/2016 22:00:00","BZN|ES","Without Sequence","34.50","",""
"07/01/2016 22:00:00 - 07/01/2016 23:00:00","BZN|ES","Without Sequence","33.49","",""
"07/01/2016 23:00:00 - 08/01/2016 00:00:00","BZN|ES","Without Sequence","28.76","",""
"08/01/2016 00:00:00 - 08/01/2016 01:00:00","BZN|ES","Without Sequence","24.36","",""
"08/01/2016 01:00:00 - 08/01/2016 02:00:00","BZN|ES","Without Sequence","19.33","",""
"08/01/2016 02:00:00 - 08/01/2016 03:00:00","BZN|ES","Without Sequence","16.10","",""
"08/01/2016 03:00:00 - 08/01/2016 04:00:00","BZN|ES","Without Sequence","15.00","",""
"08/01/2016 04:00:00 - 08/01/2016 05:00:00","BZN|ES","Without Sequence","15.00","",""
"08/01/2016 05:00:00 - 08/01/2016 06:00:00","BZN|ES","Without Sequence","18.14","",""
"08/01/2016 06:00:00 - 08/01/2016 07:00:00","BZN|ES","Without Sequence","25.21","",""
"08/01/2016 07:00:00 - 08/01/2016 08:00:00","BZN|ES","Without Sequence","36.46","",""
"08/01/2016 08:00:00 - 08/01/2016 09:00:00","BZN|ES","Without Sequence","39.53","",""
"08/01/2016 09:00:00 - 08/01/2016 10:00:00","BZN|ES","Without Sequence","37.69","",""
"08/01/2016 10:00:00 - 08/01/2016 11:00:00","BZN|ES","Without Sequence","37.66","",""
"08/01/2016 11:00:00 - 08/01/2016 12:00:00","BZN|ES","Without Sequence","36.91","",""
"08/01/2016 12:00:00 - 08/01/2016 13:00:00","BZN|ES","Without Sequence","36.13","",""
"08/01/2016 13:00:00 - 08/01/2016 14:00:00","BZN|ES","Without Sequence","36.13","",""
"08/01/2016 14:00:00 - 08/01/2016 15:00:00","BZN|ES","Without Sequence","32.99","",""
"08/01/2016 15:00:00 - 08/01/2016 16:00:00","BZN|ES","Without Sequence","32.08","",""
"08/01/2016 16:00:00 - 08/01/2016 17:00:00","BZN|ES","Without Sequence","37.16","",""
"08/01/2016 17:00:00 - 08/01/2016 18:00:00","BZN|ES","Without Sequence","45.00","",""
"08/01/2016 18:00:00 - 08/01/2016 19:00:00","BZN|ES","Without Sequence","46.97","",""
"08/01/2016 19:00:00 - 08/01/2016 20:00:00","BZN|ES","Without Sequence","48.24","",""
"08/01/2016 20:00:00 - 08/01/2016 21:00:00","BZN|ES","Without Sequence","49.21","",""
"08/01/2016 21:00:00 - 08/01/2016 22:00:00","BZN|ES","Without Sequence","48.57","",""
"08/01/2016 22:00:00 - 08/01/2016 23:00:00","BZN|ES","Without Sequence","40.19","",""
"08/01/2016 23:00:00 - 09/01/2016 00:00:00","BZN|ES","Without Sequence","36.10","",""
"09/01/2016 00:00:00 - 09/01/2016 01:00:00","BZN|ES","Without Sequence","31.11","",""
"09/01/2016 01:00:00 - 09/01/2016 02:00:00","BZN|ES","Without Sequence","29.00","",""
"09/01/2016 02:00:00 - 09/01/2016 03:00:00","BZN|ES","Without Sequence","24.30","",""
"09/01/2016 03:00:00 - 09/01/2016 04:00:00","BZN|ES","Without Sequence","23.23","",""
"09/01/2016 04:00:00 - 09/01/2016 05:00:00","BZN|ES","Without Sequence","21.96","",""
"09/01/2016 05:00:00 - 09/01/2016 06:00:00","BZN|ES","Without Sequence","22.45","",""
"09/01/2016 06:00:00 - 09/01/2016 07:00:00","BZN|ES","Without Sequence","23.07","",""
"09/01/2016 07:00:00 - 09/01/2016 08:00:00","BZN|ES","Without Sequence","24.03","",""
"09/01/2016 08:00:00 - 09/01/2016 09:00:00","BZN|ES","Without Sequence","29.00","",""
