"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2020 14:00:00 - 04/01/2020 15:00:00","BZN|IT-North","Without Sequence","40.00","",""
"04/01/2020 15:00:00 - 04/01/2020 16:00:00","BZN|IT-North","Without Sequence","41.06","",""
"04/01/2020 16:00:00 - 04/01/2020 17:00:00","BZN|IT-North","Without Sequence","42.49","",""
"04/01/2020 17:00:00 - 04/01/2020 18:00:00","BZN|IT-North","Without Sequence","45.62","",""
"04/01/2020 18:00:00 - 04/01/2020 19:00:00","BZN|IT-North","Without Sequence","47.00","",""
"04/01/2020 19:00:00 - 04/01/2020 20:00:00","BZN|IT-North","Without Sequence","47.21","",""
"04/01/2020 20:00:00 - 04/01/2020 21:00:00","BZN|IT-North","Without Sequence","46.72","",""
"04/01/2020 21:00:00 - 04/01/2020 22:00:00","BZN|IT-North","Without Sequence","45.62","",""
"04/01/2020 22:00:00 - 04/01/2020 23:00:00","BZN|IT-North","Without Sequence","41.06","",""
"04/01/2020 23:00:00 - 05/01/2020 00:00:00","BZN|IT-North","Without Sequence","40.18","",""
"05/01/2020 00:00:00 - 05/01/2020 01:00:00","BZN|IT-North","Without Sequence","44.00","",""
"05/01/2020 01:00:00 - 05/01/2020 02:00:00","BZN|IT-North","Without Sequence","40.00","",""
"05/01/2020 02:00:00 - 05/01/2020 03:00:00","BZN|IT-North","Without Sequence","39.92","",""
"05/01/2020 03:00:00 - 05/01/2020 04:00:00","BZN|IT-North","Without Sequence","34.58","",""
"05/01/2020 04:00:00 - 05/01/2020 05:00:00","BZN|IT-North","Without Sequence","32.57","",""
"05/01/2020 05:00:00 - 05/01/2020 06:00:00","BZN|IT-North","Without Sequence","29.88","",""
"05/01/2020 06:00:00 - 05/01/2020 07:00:00","BZN|IT-North","Without Sequence","33.30","",""
"05/01/2020 07:00:00 - 05/01/2020 08:00:00","BZN|IT-North","Without Sequence","35.12","",""
"05/01/2020 08:00:00 - 05/01/2020 09:00:00","BZN|IT-North","Without Sequence","36.01","",""
"05/01/2020 09:00:00 - 05/01/2020 10:00:00","BZN|IT-North","Without Sequence","37.06","",""
"05/01/2020 10:00:00 - 05/01/2020 11:00:00","BZN|IT-North","Without Sequence","37.53","",""
"05/01/2020 11:00:00 - 05/01/2020 12:00:00","BZN|IT-North","Without Sequence","38.99","",""
"05/01/2020 12:00:00 - 05/01/2020 13:00:00","BZN|IT-North","Without Sequence","38.15","",""
"05/01/2020 13:00:00 - 05/01/2020 14:00:00","BZN|IT-North","Without Sequence","35.37","",""
"05/01/2020 14:00:00 - 05/01/2020 15:00:00","BZN|IT-North","Without Sequence","34.44","",""
"05/01/2020 15:00:00 - 05/01/2020 16:00:00","BZN|IT-North","Without Sequence","36.10","",""
"05/01/2020 16:00:00 - 05/01/2020 17:00:00","BZN|IT-North","Without Sequence","40.59","",""
"05/01/2020 17:00:00 - 05/01/2020 18:00:00","BZN|IT-North","Without Sequence","44.68","",""
"05/01/2020 18:00:00 - 05/01/2020 19:00:00","BZN|IT-North","Without Sequence","46.16","",""
"05/01/2020 19:00:00 - 05/01/2020 20:00:00","BZN|IT-North","Without Sequence","45.64","",""
"05/01/2020 20:00:00 - 05/01/2020 21:00:00","BZN|IT-North","Without Sequence","42.68","",""
"05/01/2020 21:00:00 - 05/01/2020 22:00:00","BZN|IT-North","Without Sequence","37.57","",""
"05/01/2020 22:00:00 - 05/01/2020 23:00:00","BZN|IT-North","Without Sequence","37.57","",""
"05/01/2020 23:00:00 - 06/01/2020 00:00:00","BZN|IT-North","Without Sequence","35.54","",""
"06/01/2020 00:00:00 - 06/01/2020 01:00:00","BZN|IT-North","Without Sequence","29.16","",""
"06/01/2020 01:00:00 - 06/01/2020 02:00:00","BZN|IT-North","Without Sequence","29.00","",""
