"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2017 17:00:00 - 08/01/2017 18:00:00","BZN|FR","Without Sequence","60.95","",""
"08/01/2017 18:00:00 - 08/01/2017 19:00:00","BZN|FR","Without Sequence","70.51","",""
"08/01/2017 19:00:00 - 08/01/2017 20:00:00","BZN|FR","Without Sequence","75.52","",""
"08/01/2017 20:00:00 - 08/01/2017 21:00:00","BZN|FR","Without Sequence","73.20","",""
"08/01/2017 21:00:00 - 08/01/2017 22:00:00","BZN|FR","Without Sequence","68.40","",""
"08/01/2017 22:00:00 - 08/01/2017 23:00:00","BZN|FR","Without Sequence","71.21","",""
"08/01/2017 23:00:00 - 09/01/2017 00:00:00","BZN|FR","Without Sequence","65.88","",""
"09/01/2017 00:00:00 - 09/01/2017 01:00:00","BZN|FR","Without Sequence","58.00","",""
"09/01/2017 01:00:00 - 09/01/2017 02:00:00","BZN|FR","Without Sequence","52.90","",""
"09/01/2017 02:00:00 - 09/01/2017 03:00:00","BZN|FR","Without Sequence","50.04","",""
"09/01/2017 03:00:00 - 09/01/2017 04:00:00","BZN|FR","Without Sequence","45.75","",""
"09/01/2017 04:00:00 - 09/01/2017 05:00:00","BZN|FR","Without Sequence","45.02","",""
"09/01/2017 05:00:00 - 09/01/2017 06:00:00","BZN|FR","Without Sequence","52.24","",""
"09/01/2017 06:00:00 - 09/01/2017 07:00:00","BZN|FR","Without Sequence","65.75","",""
"09/01/2017 07:00:00 - 09/01/2017 08:00:00","BZN|FR","Without Sequence","78.01","",""
"09/01/2017 08:00:00 - 09/01/2017 09:00:00","BZN|FR","Without Sequence","89.78","",""
"09/01/2017 09:00:00 - 09/01/2017 10:00:00","BZN|FR","Without Sequence","80.00","",""
"09/01/2017 10:00:00 - 09/01/2017 11:00:00","BZN|FR","Without Sequence","80.00","",""
"09/01/2017 11:00:00 - 09/01/2017 12:00:00","BZN|FR","Without Sequence","80.00","",""
"09/01/2017 12:00:00 - 09/01/2017 13:00:00","BZN|FR","Without Sequence","80.00","",""
"09/01/2017 13:00:00 - 09/01/2017 14:00:00","BZN|FR","Without Sequence","79.89","",""
"09/01/2017 14:00:00 - 09/01/2017 15:00:00","BZN|FR","Without Sequence","78.70","",""
"09/01/2017 15:00:00 - 09/01/2017 16:00:00","BZN|FR","Without Sequence","77.00","",""
"09/01/2017 16:00:00 - 09/01/2017 17:00:00","BZN|FR","Without Sequence","75.75","",""
"09/01/2017 17:00:00 - 09/01/2017 18:00:00","BZN|FR","Without Sequence","77.51","",""
"09/01/2017 18:00:00 - 09/01/2017 19:00:00","BZN|FR","Without Sequence","83.87","",""
"09/01/2017 19:00:00 - 09/01/2017 20:00:00","BZN|FR","Without Sequence","80.10","",""
"09/01/2017 20:00:00 - 09/01/2017 21:00:00","BZN|FR","Without Sequence","77.07","",""
"09/01/2017 21:00:00 - 09/01/2017 22:00:00","BZN|FR","Without Sequence","66.20","",""
"09/01/2017 22:00:00 - 09/01/2017 23:00:00","BZN|FR","Without Sequence","66.60","",""
"09/01/2017 23:00:00 - 10/01/2017 00:00:00","BZN|FR","Without Sequence","65.82","",""
"10/01/2017 00:00:00 - 10/01/2017 01:00:00","BZN|FR","Without Sequence","59.99","",""
"10/01/2017 01:00:00 - 10/01/2017 02:00:00","BZN|FR","Without Sequence","55.80","",""
"10/01/2017 02:00:00 - 10/01/2017 03:00:00","BZN|FR","Without Sequence","52.98","",""
"10/01/2017 03:00:00 - 10/01/2017 04:00:00","BZN|FR","Without Sequence","50.00","",""
"10/01/2017 04:00:00 - 10/01/2017 05:00:00","BZN|FR","Without Sequence","49.19","",""
"10/01/2017 05:00:00 - 10/01/2017 06:00:00","BZN|FR","Without Sequence","52.07","",""
"10/01/2017 06:00:00 - 10/01/2017 07:00:00","BZN|FR","Without Sequence","63.55","",""
"10/01/2017 07:00:00 - 10/01/2017 08:00:00","BZN|FR","Without Sequence","80.40","",""
"10/01/2017 08:00:00 - 10/01/2017 09:00:00","BZN|FR","Without Sequence","77.90","",""
"10/01/2017 09:00:00 - 10/01/2017 10:00:00","BZN|FR","Without Sequence","82.73","",""
"10/01/2017 10:00:00 - 10/01/2017 11:00:00","BZN|FR","Without Sequence","84.59","",""
"10/01/2017 11:00:00 - 10/01/2017 12:00:00","BZN|FR","Without Sequence","84.09","",""
"10/01/2017 12:00:00 - 10/01/2017 13:00:00","BZN|FR","Without Sequence","82.06","",""
"10/01/2017 13:00:00 - 10/01/2017 14:00:00","BZN|FR","Without Sequence","80.00","",""
"10/01/2017 14:00:00 - 10/01/2017 15:00:00","BZN|FR","Without Sequence","77.79","",""
"10/01/2017 15:00:00 - 10/01/2017 16:00:00","BZN|FR","Without Sequence","75.69","",""
"10/01/2017 16:00:00 - 10/01/2017 17:00:00","BZN|FR","Without Sequence","75.85","",""
"10/01/2017 17:00:00 - 10/01/2017 18:00:00","BZN|FR","Without Sequence","88.38","",""
"10/01/2017 18:00:00 - 10/01/2017 19:00:00","BZN|FR","Without Sequence","103.30","",""
"10/01/2017 19:00:00 - 10/01/2017 20:00:00","BZN|FR","Without Sequence","88.26","",""
"10/01/2017 20:00:00 - 10/01/2017 21:00:00","BZN|FR","Without Sequence","79.67","",""
"10/01/2017 21:00:00 - 10/01/2017 22:00:00","BZN|FR","Without Sequence","70.49","",""
"10/01/2017 22:00:00 - 10/01/2017 23:00:00","BZN|FR","Without Sequence","68.39","",""
"10/01/2017 23:00:00 - 11/01/2017 00:00:00","BZN|FR","Without Sequence","70.21","",""
"11/01/2017 00:00:00 - 11/01/2017 01:00:00","BZN|FR","Without Sequence","66.76","",""
"11/01/2017 01:00:00 - 11/01/2017 02:00:00","BZN|FR","Without Sequence","64.79","",""
"11/01/2017 02:00:00 - 11/01/2017 03:00:00","BZN|FR","Without Sequence","62.05","",""
"11/01/2017 03:00:00 - 11/01/2017 04:00:00","BZN|FR","Without Sequence","53.34","",""
"11/01/2017 04:00:00 - 11/01/2017 05:00:00","BZN|FR","Without Sequence","50.62","",""
"11/01/2017 05:00:00 - 11/01/2017 06:00:00","BZN|FR","Without Sequence","58.30","",""
"11/01/2017 06:00:00 - 11/01/2017 07:00:00","BZN|FR","Without Sequence","75.80","",""
"11/01/2017 07:00:00 - 11/01/2017 08:00:00","BZN|FR","Without Sequence","90.70","",""
"11/01/2017 08:00:00 - 11/01/2017 09:00:00","BZN|FR","Without Sequence","96.88","",""
"11/01/2017 09:00:00 - 11/01/2017 10:00:00","BZN|FR","Without Sequence","93.10","",""
"11/01/2017 10:00:00 - 11/01/2017 11:00:00","BZN|FR","Without Sequence","82.57","",""
"11/01/2017 11:00:00 - 11/01/2017 12:00:00","BZN|FR","Without Sequence","81.61","",""
"11/01/2017 12:00:00 - 11/01/2017 13:00:00","BZN|FR","Without Sequence","79.98","",""
"11/01/2017 13:00:00 - 11/01/2017 14:00:00","BZN|FR","Without Sequence","79.56","",""
"11/01/2017 14:00:00 - 11/01/2017 15:00:00","BZN|FR","Without Sequence","79.82","",""
"11/01/2017 15:00:00 - 11/01/2017 16:00:00","BZN|FR","Without Sequence","78.87","",""
"11/01/2017 16:00:00 - 11/01/2017 17:00:00","BZN|FR","Without Sequence","79.56","",""
"11/01/2017 17:00:00 - 11/01/2017 18:00:00","BZN|FR","Without Sequence","83.65","",""
"11/01/2017 18:00:00 - 11/01/2017 19:00:00","BZN|FR","Without Sequence","95.76","",""
"11/01/2017 19:00:00 - 11/01/2017 20:00:00","BZN|FR","Without Sequence","88.44","",""
"11/01/2017 20:00:00 - 11/01/2017 21:00:00","BZN|FR","Without Sequence","85.00","",""
"11/01/2017 21:00:00 - 11/01/2017 22:00:00","BZN|FR","Without Sequence","77.60","",""
"11/01/2017 22:00:00 - 11/01/2017 23:00:00","BZN|FR","Without Sequence","77.95","",""
"11/01/2017 23:00:00 - 12/01/2017 00:00:00","BZN|FR","Without Sequence","77.51","",""
"12/01/2017 00:00:00 - 12/01/2017 01:00:00","BZN|FR","Without Sequence","67.19","",""
"12/01/2017 01:00:00 - 12/01/2017 02:00:00","BZN|FR","Without Sequence","60.37","",""
"12/01/2017 02:00:00 - 12/01/2017 03:00:00","BZN|FR","Without Sequence","60.71","",""
"12/01/2017 03:00:00 - 12/01/2017 04:00:00","BZN|FR","Without Sequence","51.37","",""
"12/01/2017 04:00:00 - 12/01/2017 05:00:00","BZN|FR","Without Sequence","48.46","",""
"12/01/2017 05:00:00 - 12/01/2017 06:00:00","BZN|FR","Without Sequence","60.01","",""
"12/01/2017 06:00:00 - 12/01/2017 07:00:00","BZN|FR","Without Sequence","73.69","",""
"12/01/2017 07:00:00 - 12/01/2017 08:00:00","BZN|FR","Without Sequence","82.87","",""
"12/01/2017 08:00:00 - 12/01/2017 09:00:00","BZN|FR","Without Sequence","87.00","",""
"12/01/2017 09:00:00 - 12/01/2017 10:00:00","BZN|FR","Without Sequence","88.01","",""
"12/01/2017 10:00:00 - 12/01/2017 11:00:00","BZN|FR","Without Sequence","86.71","",""
