"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2021 09:00:00 - 05/01/2021 10:00:00","BZN|ES","Without Sequence","75.00","",""
"05/01/2021 10:00:00 - 05/01/2021 11:00:00","BZN|ES","Without Sequence","73.48","",""
"05/01/2021 11:00:00 - 05/01/2021 12:00:00","BZN|ES","Without Sequence","72.31","",""
"05/01/2021 12:00:00 - 05/01/2021 13:00:00","BZN|ES","Without Sequence","71.35","",""
"05/01/2021 13:00:00 - 05/01/2021 14:00:00","BZN|ES","Without Sequence","72.52","",""
"05/01/2021 14:00:00 - 05/01/2021 15:00:00","BZN|ES","Without Sequence","69.75","",""
"05/01/2021 15:00:00 - 05/01/2021 16:00:00","BZN|ES","Without Sequence","68.29","",""
"05/01/2021 16:00:00 - 05/01/2021 17:00:00","BZN|ES","Without Sequence","69.75","",""
"05/01/2021 17:00:00 - 05/01/2021 18:00:00","BZN|ES","Without Sequence","71.90","",""
"05/01/2021 18:00:00 - 05/01/2021 19:00:00","BZN|ES","Without Sequence","80.00","",""
"05/01/2021 19:00:00 - 05/01/2021 20:00:00","BZN|ES","Without Sequence","80.00","",""
"05/01/2021 20:00:00 - 05/01/2021 21:00:00","BZN|ES","Without Sequence","75.99","",""
"05/01/2021 21:00:00 - 05/01/2021 22:00:00","BZN|ES","Without Sequence","75.39","",""
"05/01/2021 22:00:00 - 05/01/2021 23:00:00","BZN|ES","Without Sequence","72.69","",""
"05/01/2021 23:00:00 - 06/01/2021 00:00:00","BZN|ES","Without Sequence","70.00","",""
"06/01/2021 00:00:00 - 06/01/2021 01:00:00","BZN|ES","Without Sequence","69.02","",""
"06/01/2021 01:00:00 - 06/01/2021 02:00:00","BZN|ES","Without Sequence","67.54","",""
"06/01/2021 02:00:00 - 06/01/2021 03:00:00","BZN|ES","Without Sequence","60.39","",""
"06/01/2021 03:00:00 - 06/01/2021 04:00:00","BZN|ES","Without Sequence","55.75","",""
"06/01/2021 04:00:00 - 06/01/2021 05:00:00","BZN|ES","Without Sequence","55.16","",""
"06/01/2021 05:00:00 - 06/01/2021 06:00:00","BZN|ES","Without Sequence","53.51","",""
"06/01/2021 06:00:00 - 06/01/2021 07:00:00","BZN|ES","Without Sequence","55.18","",""
"06/01/2021 07:00:00 - 06/01/2021 08:00:00","BZN|ES","Without Sequence","67.61","",""
"06/01/2021 08:00:00 - 06/01/2021 09:00:00","BZN|ES","Without Sequence","70.00","",""
"06/01/2021 09:00:00 - 06/01/2021 10:00:00","BZN|ES","Without Sequence","73.54","",""
"06/01/2021 10:00:00 - 06/01/2021 11:00:00","BZN|ES","Without Sequence","75.95","",""
"06/01/2021 11:00:00 - 06/01/2021 12:00:00","BZN|ES","Without Sequence","77.18","",""
"06/01/2021 12:00:00 - 06/01/2021 13:00:00","BZN|ES","Without Sequence","77.01","",""
"06/01/2021 13:00:00 - 06/01/2021 14:00:00","BZN|ES","Without Sequence","73.79","",""
"06/01/2021 14:00:00 - 06/01/2021 15:00:00","BZN|ES","Without Sequence","73.02","",""
"06/01/2021 15:00:00 - 06/01/2021 16:00:00","BZN|ES","Without Sequence","70.89","",""
"06/01/2021 16:00:00 - 06/01/2021 17:00:00","BZN|ES","Without Sequence","72.85","",""
"06/01/2021 17:00:00 - 06/01/2021 18:00:00","BZN|ES","Without Sequence","78.00","",""
"06/01/2021 18:00:00 - 06/01/2021 19:00:00","BZN|ES","Without Sequence","83.35","",""
"06/01/2021 19:00:00 - 06/01/2021 20:00:00","BZN|ES","Without Sequence","90.00","",""
"06/01/2021 20:00:00 - 06/01/2021 21:00:00","BZN|ES","Without Sequence","79.60","",""
"06/01/2021 21:00:00 - 06/01/2021 22:00:00","BZN|ES","Without Sequence","75.40","",""
"06/01/2021 22:00:00 - 06/01/2021 23:00:00","BZN|ES","Without Sequence","72.10","",""
"06/01/2021 23:00:00 - 07/01/2021 00:00:00","BZN|ES","Without Sequence","67.54","",""
"07/01/2021 00:00:00 - 07/01/2021 01:00:00","BZN|ES","Without Sequence","77.00","",""
"07/01/2021 01:00:00 - 07/01/2021 02:00:00","BZN|ES","Without Sequence","65.85","",""
"07/01/2021 02:00:00 - 07/01/2021 03:00:00","BZN|ES","Without Sequence","63.78","",""
"07/01/2021 03:00:00 - 07/01/2021 04:00:00","BZN|ES","Without Sequence","59.31","",""
"07/01/2021 04:00:00 - 07/01/2021 05:00:00","BZN|ES","Without Sequence","58.00","",""
"07/01/2021 05:00:00 - 07/01/2021 06:00:00","BZN|ES","Without Sequence","60.65","",""
"07/01/2021 06:00:00 - 07/01/2021 07:00:00","BZN|ES","Without Sequence","65.00","",""
"07/01/2021 07:00:00 - 07/01/2021 08:00:00","BZN|ES","Without Sequence","83.98","",""
"07/01/2021 08:00:00 - 07/01/2021 09:00:00","BZN|ES","Without Sequence","95.02","",""
"07/01/2021 09:00:00 - 07/01/2021 10:00:00","BZN|ES","Without Sequence","99.00","",""
"07/01/2021 10:00:00 - 07/01/2021 11:00:00","BZN|ES","Without Sequence","100.00","",""
"07/01/2021 11:00:00 - 07/01/2021 12:00:00","BZN|ES","Without Sequence","100.00","",""
"07/01/2021 12:00:00 - 07/01/2021 13:00:00","BZN|ES","Without Sequence","100.00","",""
"07/01/2021 13:00:00 - 07/01/2021 14:00:00","BZN|ES","Without Sequence","100.00","",""
"07/01/2021 14:00:00 - 07/01/2021 15:00:00","BZN|ES","Without Sequence","100.00","",""
"07/01/2021 15:00:00 - 07/01/2021 16:00:00","BZN|ES","Without Sequence","99.85","",""
"07/01/2021 16:00:00 - 07/01/2021 17:00:00","BZN|ES","Without Sequence","97.85","",""
"07/01/2021 17:00:00 - 07/01/2021 18:00:00","BZN|ES","Without Sequence","100.00","",""
"07/01/2021 18:00:00 - 07/01/2021 19:00:00","BZN|ES","Without Sequence","106.95","",""
"07/01/2021 19:00:00 - 07/01/2021 20:00:00","BZN|ES","Without Sequence","108.97","",""
"07/01/2021 20:00:00 - 07/01/2021 21:00:00","BZN|ES","Without Sequence","101.85","",""
"07/01/2021 21:00:00 - 07/01/2021 22:00:00","BZN|ES","Without Sequence","101.17","",""
"07/01/2021 22:00:00 - 07/01/2021 23:00:00","BZN|ES","Without Sequence","100.00","",""
"07/01/2021 23:00:00 - 08/01/2021 00:00:00","BZN|ES","Without Sequence","90.00","",""
"08/01/2021 00:00:00 - 08/01/2021 01:00:00","BZN|ES","Without Sequence","95.98","",""
"08/01/2021 01:00:00 - 08/01/2021 02:00:00","BZN|ES","Without Sequence","77.93","",""
"08/01/2021 02:00:00 - 08/01/2021 03:00:00","BZN|ES","Without Sequence","69.55","",""
"08/01/2021 03:00:00 - 08/01/2021 04:00:00","BZN|ES","Without Sequence","65.00","",""
"08/01/2021 04:00:00 - 08/01/2021 05:00:00","BZN|ES","Without Sequence","60.00","",""
"08/01/2021 05:00:00 - 08/01/2021 06:00:00","BZN|ES","Without Sequence","61.10","",""
"08/01/2021 06:00:00 - 08/01/2021 07:00:00","BZN|ES","Without Sequence","69.51","",""
"08/01/2021 07:00:00 - 08/01/2021 08:00:00","BZN|ES","Without Sequence","86.93","",""
"08/01/2021 08:00:00 - 08/01/2021 09:00:00","BZN|ES","Without Sequence","103.54","",""
"08/01/2021 09:00:00 - 08/01/2021 10:00:00","BZN|ES","Without Sequence","110.45","",""
"08/01/2021 10:00:00 - 08/01/2021 11:00:00","BZN|ES","Without Sequence","110.00","",""
"08/01/2021 11:00:00 - 08/01/2021 12:00:00","BZN|ES","Without Sequence","110.45","",""
"08/01/2021 12:00:00 - 08/01/2021 13:00:00","BZN|ES","Without Sequence","110.00","",""
"08/01/2021 13:00:00 - 08/01/2021 14:00:00","BZN|ES","Without Sequence","110.00","",""
"08/01/2021 14:00:00 - 08/01/2021 15:00:00","BZN|ES","Without Sequence","107.75","",""
"08/01/2021 15:00:00 - 08/01/2021 16:00:00","BZN|ES","Without Sequence","100.98","",""
"08/01/2021 16:00:00 - 08/01/2021 17:00:00","BZN|ES","Without Sequence","100.36","",""
"08/01/2021 17:00:00 - 08/01/2021 18:00:00","BZN|ES","Without Sequence","110.00","",""
"08/01/2021 18:00:00 - 08/01/2021 19:00:00","BZN|ES","Without Sequence","113.37","",""
"08/01/2021 19:00:00 - 08/01/2021 20:00:00","BZN|ES","Without Sequence","114.89","",""
"08/01/2021 20:00:00 - 08/01/2021 21:00:00","BZN|ES","Without Sequence","110.00","",""
"08/01/2021 21:00:00 - 08/01/2021 22:00:00","BZN|ES","Without Sequence","110.00","",""
"08/01/2021 22:00:00 - 08/01/2021 23:00:00","BZN|ES","Without Sequence","97.45","",""
"08/01/2021 23:00:00 - 09/01/2021 00:00:00","BZN|ES","Without Sequence","74.49","",""
"09/01/2021 00:00:00 - 09/01/2021 01:00:00","BZN|ES","Without Sequence","70.17","",""
"09/01/2021 01:00:00 - 09/01/2021 02:00:00","BZN|ES","Without Sequence","61.64","",""
"09/01/2021 02:00:00 - 09/01/2021 03:00:00","BZN|ES","Without Sequence","55.96","",""
"09/01/2021 03:00:00 - 09/01/2021 04:00:00","BZN|ES","Without Sequence","51.88","",""
"09/01/2021 04:00:00 - 09/01/2021 05:00:00","BZN|ES","Without Sequence","50.25","",""
"09/01/2021 05:00:00 - 09/01/2021 06:00:00","BZN|ES","Without Sequence","50.25","",""
"09/01/2021 06:00:00 - 09/01/2021 07:00:00","BZN|ES","Without Sequence","51.39","",""
"09/01/2021 07:00:00 - 09/01/2021 08:00:00","BZN|ES","Without Sequence","55.62","",""
"09/01/2021 08:00:00 - 09/01/2021 09:00:00","BZN|ES","Without Sequence","60.39","",""
"09/01/2021 09:00:00 - 09/01/2021 10:00:00","BZN|ES","Without Sequence","72.03","",""
"09/01/2021 10:00:00 - 09/01/2021 11:00:00","BZN|ES","Without Sequence","92.01","",""
"09/01/2021 11:00:00 - 09/01/2021 12:00:00","BZN|ES","Without Sequence","95.98","",""
