"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/01/2021 00:00:00 - 07/01/2021 01:00:00","BZN|IT-North","Without Sequence","56.87","",""
"07/01/2021 01:00:00 - 07/01/2021 02:00:00","BZN|IT-North","Without Sequence","54.71","",""
"07/01/2021 02:00:00 - 07/01/2021 03:00:00","BZN|IT-North","Without Sequence","53.70","",""
"07/01/2021 03:00:00 - 07/01/2021 04:00:00","BZN|IT-North","Without Sequence","51.51","",""
"07/01/2021 04:00:00 - 07/01/2021 05:00:00","BZN|IT-North","Without Sequence","49.35","",""
"07/01/2021 05:00:00 - 07/01/2021 06:00:00","BZN|IT-North","Without Sequence","55.63","",""
"07/01/2021 06:00:00 - 07/01/2021 07:00:00","BZN|IT-North","Without Sequence","61.60","",""
"07/01/2021 07:00:00 - 07/01/2021 08:00:00","BZN|IT-North","Without Sequence","71.09","",""
"07/01/2021 08:00:00 - 07/01/2021 09:00:00","BZN|IT-North","Without Sequence","88.26","",""
"07/01/2021 09:00:00 - 07/01/2021 10:00:00","BZN|IT-North","Without Sequence","92.28","",""
"07/01/2021 10:00:00 - 07/01/2021 11:00:00","BZN|IT-North","Without Sequence","86.88","",""
"07/01/2021 11:00:00 - 07/01/2021 12:00:00","BZN|IT-North","Without Sequence","90.62","",""
"07/01/2021 12:00:00 - 07/01/2021 13:00:00","BZN|IT-North","Without Sequence","77.90","",""
"07/01/2021 13:00:00 - 07/01/2021 14:00:00","BZN|IT-North","Without Sequence","78.30","",""
"07/01/2021 14:00:00 - 07/01/2021 15:00:00","BZN|IT-North","Without Sequence","80.40","",""
"07/01/2021 15:00:00 - 07/01/2021 16:00:00","BZN|IT-North","Without Sequence","83.57","",""
"07/01/2021 16:00:00 - 07/01/2021 17:00:00","BZN|IT-North","Without Sequence","89.68","",""
"07/01/2021 17:00:00 - 07/01/2021 18:00:00","BZN|IT-North","Without Sequence","97.00","",""
"07/01/2021 18:00:00 - 07/01/2021 19:00:00","BZN|IT-North","Without Sequence","92.20","",""
"07/01/2021 19:00:00 - 07/01/2021 20:00:00","BZN|IT-North","Without Sequence","86.19","",""
"07/01/2021 20:00:00 - 07/01/2021 21:00:00","BZN|IT-North","Without Sequence","72.91","",""
"07/01/2021 21:00:00 - 07/01/2021 22:00:00","BZN|IT-North","Without Sequence","65.22","",""
"07/01/2021 22:00:00 - 07/01/2021 23:00:00","BZN|IT-North","Without Sequence","61.98","",""
"07/01/2021 23:00:00 - 08/01/2021 00:00:00","BZN|IT-North","Without Sequence","57.58","",""
"08/01/2021 00:00:00 - 08/01/2021 01:00:00","BZN|IT-North","Without Sequence","57.45","",""
"08/01/2021 01:00:00 - 08/01/2021 02:00:00","BZN|IT-North","Without Sequence","56.41","",""
"08/01/2021 02:00:00 - 08/01/2021 03:00:00","BZN|IT-North","Without Sequence","55.17","",""
"08/01/2021 03:00:00 - 08/01/2021 04:00:00","BZN|IT-North","Without Sequence","51.76","",""
"08/01/2021 04:00:00 - 08/01/2021 05:00:00","BZN|IT-North","Without Sequence","50.86","",""
"08/01/2021 05:00:00 - 08/01/2021 06:00:00","BZN|IT-North","Without Sequence","56.45","",""
"08/01/2021 06:00:00 - 08/01/2021 07:00:00","BZN|IT-North","Without Sequence","65.22","",""
"08/01/2021 07:00:00 - 08/01/2021 08:00:00","BZN|IT-North","Without Sequence","81.07","",""
"08/01/2021 08:00:00 - 08/01/2021 09:00:00","BZN|IT-North","Without Sequence","103.54","",""
"08/01/2021 09:00:00 - 08/01/2021 10:00:00","BZN|IT-North","Without Sequence","110.45","",""
"08/01/2021 10:00:00 - 08/01/2021 11:00:00","BZN|IT-North","Without Sequence","109.96","",""
"08/01/2021 11:00:00 - 08/01/2021 12:00:00","BZN|IT-North","Without Sequence","106.82","",""
"08/01/2021 12:00:00 - 08/01/2021 13:00:00","BZN|IT-North","Without Sequence","95.00","",""
"08/01/2021 13:00:00 - 08/01/2021 14:00:00","BZN|IT-North","Without Sequence","88.10","",""
"08/01/2021 14:00:00 - 08/01/2021 15:00:00","BZN|IT-North","Without Sequence","95.00","",""
"08/01/2021 15:00:00 - 08/01/2021 16:00:00","BZN|IT-North","Without Sequence","95.42","",""
"08/01/2021 16:00:00 - 08/01/2021 17:00:00","BZN|IT-North","Without Sequence","95.00","",""
"08/01/2021 17:00:00 - 08/01/2021 18:00:00","BZN|IT-North","Without Sequence","110.00","",""
"08/01/2021 18:00:00 - 08/01/2021 19:00:00","BZN|IT-North","Without Sequence","102.41","",""
"08/01/2021 19:00:00 - 08/01/2021 20:00:00","BZN|IT-North","Without Sequence","83.06","",""
"08/01/2021 20:00:00 - 08/01/2021 21:00:00","BZN|IT-North","Without Sequence","70.00","",""
"08/01/2021 21:00:00 - 08/01/2021 22:00:00","BZN|IT-North","Without Sequence","64.06","",""
"08/01/2021 22:00:00 - 08/01/2021 23:00:00","BZN|IT-North","Without Sequence","61.42","",""
"08/01/2021 23:00:00 - 09/01/2021 00:00:00","BZN|IT-North","Without Sequence","58.30","",""
"09/01/2021 00:00:00 - 09/01/2021 01:00:00","BZN|IT-North","Without Sequence","61.90","",""
"09/01/2021 01:00:00 - 09/01/2021 02:00:00","BZN|IT-North","Without Sequence","58.38","",""
"09/01/2021 02:00:00 - 09/01/2021 03:00:00","BZN|IT-North","Without Sequence","55.96","",""
"09/01/2021 03:00:00 - 09/01/2021 04:00:00","BZN|IT-North","Without Sequence","51.88","",""
"09/01/2021 04:00:00 - 09/01/2021 05:00:00","BZN|IT-North","Without Sequence","50.25","",""
"09/01/2021 05:00:00 - 09/01/2021 06:00:00","BZN|IT-North","Without Sequence","50.25","",""
"09/01/2021 06:00:00 - 09/01/2021 07:00:00","BZN|IT-North","Without Sequence","51.39","",""
"09/01/2021 07:00:00 - 09/01/2021 08:00:00","BZN|IT-North","Without Sequence","56.38","",""
"09/01/2021 08:00:00 - 09/01/2021 09:00:00","BZN|IT-North","Without Sequence","59.80","",""
"09/01/2021 09:00:00 - 09/01/2021 10:00:00","BZN|IT-North","Without Sequence","66.92","",""
"09/01/2021 10:00:00 - 09/01/2021 11:00:00","BZN|IT-North","Without Sequence","67.71","",""
"09/01/2021 11:00:00 - 09/01/2021 12:00:00","BZN|IT-North","Without Sequence","68.00","",""
"09/01/2021 12:00:00 - 09/01/2021 13:00:00","BZN|IT-North","Without Sequence","67.01","",""
"09/01/2021 13:00:00 - 09/01/2021 14:00:00","BZN|IT-North","Without Sequence","62.53","",""
"09/01/2021 14:00:00 - 09/01/2021 15:00:00","BZN|IT-North","Without Sequence","60.00","",""
"09/01/2021 15:00:00 - 09/01/2021 16:00:00","BZN|IT-North","Without Sequence","60.00","",""
"09/01/2021 16:00:00 - 09/01/2021 17:00:00","BZN|IT-North","Without Sequence","62.78","",""
"09/01/2021 17:00:00 - 09/01/2021 18:00:00","BZN|IT-North","Without Sequence","69.92","",""
"09/01/2021 18:00:00 - 09/01/2021 19:00:00","BZN|IT-North","Without Sequence","71.99","",""
"09/01/2021 19:00:00 - 09/01/2021 20:00:00","BZN|IT-North","Without Sequence","68.95","",""
"09/01/2021 20:00:00 - 09/01/2021 21:00:00","BZN|IT-North","Without Sequence","62.66","",""
"09/01/2021 21:00:00 - 09/01/2021 22:00:00","BZN|IT-North","Without Sequence","59.00","",""
"09/01/2021 22:00:00 - 09/01/2021 23:00:00","BZN|IT-North","Without Sequence","56.53","",""
"09/01/2021 23:00:00 - 10/01/2021 00:00:00","BZN|IT-North","Without Sequence","55.41","",""
"10/01/2021 00:00:00 - 10/01/2021 01:00:00","BZN|IT-North","Without Sequence","57.00","",""
"10/01/2021 01:00:00 - 10/01/2021 02:00:00","BZN|IT-North","Without Sequence","55.75","",""
"10/01/2021 02:00:00 - 10/01/2021 03:00:00","BZN|IT-North","Without Sequence","53.14","",""
"10/01/2021 03:00:00 - 10/01/2021 04:00:00","BZN|IT-North","Without Sequence","49.03","",""
"10/01/2021 04:00:00 - 10/01/2021 05:00:00","BZN|IT-North","Without Sequence","48.45","",""
"10/01/2021 05:00:00 - 10/01/2021 06:00:00","BZN|IT-North","Without Sequence","49.07","",""
"10/01/2021 06:00:00 - 10/01/2021 07:00:00","BZN|IT-North","Without Sequence","52.50","",""
"10/01/2021 07:00:00 - 10/01/2021 08:00:00","BZN|IT-North","Without Sequence","57.23","",""
"10/01/2021 08:00:00 - 10/01/2021 09:00:00","BZN|IT-North","Without Sequence","57.30","",""
"10/01/2021 09:00:00 - 10/01/2021 10:00:00","BZN|IT-North","Without Sequence","57.43","",""
"10/01/2021 10:00:00 - 10/01/2021 11:00:00","BZN|IT-North","Without Sequence","59.45","",""
"10/01/2021 11:00:00 - 10/01/2021 12:00:00","BZN|IT-North","Without Sequence","61.53","",""
"10/01/2021 12:00:00 - 10/01/2021 13:00:00","BZN|IT-North","Without Sequence","60.39","",""
"10/01/2021 13:00:00 - 10/01/2021 14:00:00","BZN|IT-North","Without Sequence","56.41","",""
"10/01/2021 14:00:00 - 10/01/2021 15:00:00","BZN|IT-North","Without Sequence","53.18","",""
"10/01/2021 15:00:00 - 10/01/2021 16:00:00","BZN|IT-North","Without Sequence","54.85","",""
"10/01/2021 16:00:00 - 10/01/2021 17:00:00","BZN|IT-North","Without Sequence","56.52","",""
"10/01/2021 17:00:00 - 10/01/2021 18:00:00","BZN|IT-North","Without Sequence","62.09","",""
"10/01/2021 18:00:00 - 10/01/2021 19:00:00","BZN|IT-North","Without Sequence","65.11","",""
"10/01/2021 19:00:00 - 10/01/2021 20:00:00","BZN|IT-North","Without Sequence","68.77","",""
"10/01/2021 20:00:00 - 10/01/2021 21:00:00","BZN|IT-North","Without Sequence","63.58","",""
"10/01/2021 21:00:00 - 10/01/2021 22:00:00","BZN|IT-North","Without Sequence","57.43","",""
"10/01/2021 22:00:00 - 10/01/2021 23:00:00","BZN|IT-North","Without Sequence","56.84","",""
"10/01/2021 23:00:00 - 11/01/2021 00:00:00","BZN|IT-North","Without Sequence","56.34","",""
"11/01/2021 00:00:00 - 11/01/2021 01:00:00","BZN|IT-North","Without Sequence","52.26","",""
"11/01/2021 01:00:00 - 11/01/2021 02:00:00","BZN|IT-North","Without Sequence","50.02","",""
"11/01/2021 02:00:00 - 11/01/2021 03:00:00","BZN|IT-North","Without Sequence","50.01","",""
"11/01/2021 03:00:00 - 11/01/2021 04:00:00","BZN|IT-North","Without Sequence","47.69","",""
"11/01/2021 04:00:00 - 11/01/2021 05:00:00","BZN|IT-North","Without Sequence","46.36","",""
"11/01/2021 05:00:00 - 11/01/2021 06:00:00","BZN|IT-North","Without Sequence","52.30","",""
"11/01/2021 06:00:00 - 11/01/2021 07:00:00","BZN|IT-North","Without Sequence","62.51","",""
"11/01/2021 07:00:00 - 11/01/2021 08:00:00","BZN|IT-North","Without Sequence","77.52","",""
"11/01/2021 08:00:00 - 11/01/2021 09:00:00","BZN|IT-North","Without Sequence","86.40","",""
"11/01/2021 09:00:00 - 11/01/2021 10:00:00","BZN|IT-North","Without Sequence","89.06","",""
"11/01/2021 10:00:00 - 11/01/2021 11:00:00","BZN|IT-North","Without Sequence","77.20","",""
"11/01/2021 11:00:00 - 11/01/2021 12:00:00","BZN|IT-North","Without Sequence","74.07","",""
"11/01/2021 12:00:00 - 11/01/2021 13:00:00","BZN|IT-North","Without Sequence","72.75","",""
"11/01/2021 13:00:00 - 11/01/2021 14:00:00","BZN|IT-North","Without Sequence","71.38","",""
"11/01/2021 14:00:00 - 11/01/2021 15:00:00","BZN|IT-North","Without Sequence","69.21","",""
"11/01/2021 15:00:00 - 11/01/2021 16:00:00","BZN|IT-North","Without Sequence","70.00","",""
"11/01/2021 16:00:00 - 11/01/2021 17:00:00","BZN|IT-North","Without Sequence","72.75","",""
"11/01/2021 17:00:00 - 11/01/2021 18:00:00","BZN|IT-North","Without Sequence","75.00","",""
"11/01/2021 18:00:00 - 11/01/2021 19:00:00","BZN|IT-North","Without Sequence","83.00","",""
"11/01/2021 19:00:00 - 11/01/2021 20:00:00","BZN|IT-North","Without Sequence","79.63","",""
"11/01/2021 20:00:00 - 11/01/2021 21:00:00","BZN|IT-North","Without Sequence","70.95","",""
"11/01/2021 21:00:00 - 11/01/2021 22:00:00","BZN|IT-North","Without Sequence","64.41","",""
"11/01/2021 22:00:00 - 11/01/2021 23:00:00","BZN|IT-North","Without Sequence","62.25","",""
"11/01/2021 23:00:00 - 12/01/2021 00:00:00","BZN|IT-North","Without Sequence","61.12","",""
"12/01/2021 00:00:00 - 12/01/2021 01:00:00","BZN|IT-North","Without Sequence","60.58","",""
